Código da IES;Nome da IES;Sigla da IES;Org. Acadêmica;Categ. Administrativa;UF da IES;Nº de Cursos com CPC no Triênio;alfa (Proporção de Graduandos);Conceito médio da Graduação;beta (Proporção de Mestrandos - Equivalente);Conceito Médio do Mestrado;gama (Proporção de Doutorandos - Equivalente);Conceito Médio do doutorado;IGC (Contínuo);IGC (Faixa)
4442;ESCOLA SUPERIOR PAULISTA DE ADMINISTRAÇÃO - ESPA;ESPA;Faculdade;Privada Com Fins Lucrativos;SP;1;1;2,236272421;0;0;0;0;2,236272421;3
4443;FACULDADE RIO CLARO;;Faculdade;Privada Com Fins Lucrativos;RS;2;1;2,312832833;0;0;0;0;2,312832833;3
4446;FACULDADE CIDADE DE GUANHÃES - FACIG;FACIG;Faculdade;Privada Com Fins Lucrativos;MG;0;NA;0;0;0;0;0;NA;SC
4450;FACULDADE METROPOLITANA DA AMAZÔNIA;FAMAZ;Faculdade;Privada Sem Fins Lucrativos;PA;11;1;3,228240086;0;0;0;0;3,228240086;4
4452;FACULDADE METROPOLITANA DE MARABÁ;METROPOLITANA;Faculdade;Privada Com Fins Lucrativos;PA;8;1;2,086643459;0;0;0;0;2,086643459;3
4460;FACULDADE DOM PEDRO II DE TECNOLOGIA;FAB;Faculdade;Privada Com Fins Lucrativos;BA;7;1;2,514899728;0;0;0;0;2,514899728;3
4492;FACULDADE PASCHOAL DANTAS;FPD;Faculdade;Privada Sem Fins Lucrativos;SP;2;1;1,998324958;0;0;0;0;1,998324958;3
4495;FACULDADE ANHANGUERA JARAGUÁ DO SUL;;Faculdade;Privada Com Fins Lucrativos;SC;4;1;2,636226832;0;0;0;0;2,636226832;3
4496;FACULDADE DE TECNOLOGIA DO VALE DO IVAÍ;FATEC-IVAI;Faculdade;Privada Com Fins Lucrativos;PR;1;1;1,850074176;0;0;0;0;1,850074176;2
4502;FACULDADES INTEGRADAS CAMPO-GRANDENSES;FIC;Faculdade;Privada Sem Fins Lucrativos;RJ;10;1;2,389447578;0;0;0;0;2,389447578;3
4503;UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA;UFRB;Universidade;Pública Federal;BA;25;0,869684721;2,733622481;0,095392078;4,154101996;0,034923201;4,5;2,930812531;3
4504;FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;UFGD;Universidade;Pública Federal;MS;33;0,683386412;2,806916108;0,211916136;4,452863962;0,104697452;4,713846154;3,355369734;4
4518;FACULDADE REGIONAL PALMITOS;FAP;Faculdade;Privada Com Fins Lucrativos;SC;2;1;2,346635464;0;0;0;0;2,346635464;3
4522;CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM;UNISALESIANO;Centro Universitário;Privada Sem Fins Lucrativos;SP;29;1;3,368363779;0;0;0;0;3,368363779;4
4530;CENTRO UNIVERSITÁRIO TIRADENTES;FITS;Centro Universitário;Privada Com Fins Lucrativos;AL;17;0,992147306;2,950344954;0,007852694;4,5;0;0;2,962513922;4
4531;FACULDADE ADVENTISTA DA BAHIA;FADBA;Faculdade;Privada Sem Fins Lucrativos;BA;6;1;2,348188648;0;0;0;0;2,348188648;3
4532;FACULDADE DE TECNOLOGIA SENAI CAMPO GRANDE;;Faculdade;Privada Sem Fins Lucrativos;MS;2;1;2,215818103;0;0;0;0;2,215818103;3
4533;FACULDADE SÃO FRANCISCO DA PARAÍBA;FASP;Faculdade;Privada Com Fins Lucrativos;PB;3;1;2,554001823;0;0;0;0;2,554001823;3
4534;FACULDADE HERRERO;FATEC;Faculdade;Privada Com Fins Lucrativos;PR;2;1;2,869715522;0;0;0;0;2,869715522;3
4566;ESTÁCIO FATERN - FACULDADE ESTÁCIO DO RIO GRANDE DO NORTE;ESTÁCIO FATERN;Faculdade;Privada Com Fins Lucrativos;RN;7;1;2,587239368;0;0;0;0;2,587239368;3
4567;FACULDADE CENTRO MATO-GROSSENSE;;Faculdade;Privada Sem Fins Lucrativos;MT;4;1;2,105118139;0;0;0;0;2,105118139;3
4584;FACULDADE DE TECNOLOGIA MACHADO DE ASSIS;FAMA;Faculdade;Privada Com Fins Lucrativos;PR;7;1;2,265473754;0;0;0;0;2,265473754;3
4586;FACULDADE DO NORTE GOIANO;FNG;Faculdade;Privada Com Fins Lucrativos;GO;2;1;2,462293079;0;0;0;0;2,462293079;3
4588;FACULDADE APOGEU;APOGEU;Faculdade;Privada Com Fins Lucrativos;DF;2;1;1,953544101;0;0;0;0;1,953544101;3
4590;FACULDADE DE TECNOLOGIA FATEP;FATEP;Faculdade;Privada Com Fins Lucrativos;SP;1;1;0,932941294;0;0;0;0;0,932941294;1
4594;FACULDADE CATÓLICA DE RONDONIA;FCR;Faculdade;Privada Sem Fins Lucrativos;RO;2;1;2,570130046;0;0;0;0;2,570130046;3
4596;FACULDADE REGES DE RIBEIRÃO PRETO;;Faculdade;Privada Sem Fins Lucrativos;SP;3;1;2,478858495;0;0;0;0;2,478858495;3
4597;FACULDADE FUTURA;;Faculdade;Privada Sem Fins Lucrativos;SP;3;1;1,883409325;0;0;0;0;1,883409325;2
4598;FACULDADE DE CIÊNCIAS GERENCIAIS BARÃO DE JUNDIAÍ;FCG;Faculdade;Privada Sem Fins Lucrativos;SP;2;1;1,907835828;0;0;0;0;1,907835828;2
4605;FACULDADE DE ENSINO SUPERIOR KM 125;;Faculdade;Privada Com Fins Lucrativos;PR;1;1;2,722853293;0;0;0;0;2,722853293;3
4610;FACULDADE DE TECNOLOGIA ASSESSORITEC;;Faculdade;Privada Sem Fins Lucrativos;SC;2;1;2,232759931;0;0;0;0;2,232759931;3
4613;FACULDADE DE EDUCAÇÃO E MEIO AMBIENTE;FAEMA;Faculdade;Privada Com Fins Lucrativos;RO;8;1;2,366534794;0;0;0;0;2,366534794;3
4616;FACULDADE ANHANGUERA DE CAXIAS DO SUL;;Faculdade;Privada Com Fins Lucrativos;RS;4;1;2,159882983;0;0;0;0;2,159882983;3
4631;FACULDADE ANGLO-AMERICANO DE JOÃO PESSOA;FAAJP;Faculdade;Privada Com Fins Lucrativos;PB;1;1;3,139358716;0;0;0;0;3,139358716;4
4632;FACULDADE IDEAU DE CAXIAS DO SUL;IDEAU;Faculdade;Privada Com Fins Lucrativos;RS;7;1;2,58601751;0;0;0;0;2,58601751;3
4633;FACULDADE DO PLANALTO;;Faculdade;Privada Com Fins Lucrativos;RS;2;1;2,395572795;0;0;0;0;2,395572795;3
4652;FACULDADE ANHANGÜERA DE SÃO JOSÉ;;Faculdade;Privada Com Fins Lucrativos;SP;15;1;2,154875481;0;0;0;0;2,154875481;3
4655;FACULDADE ANHANGÜERA DE SOROCABA;FSO;Faculdade;Privada Com Fins Lucrativos;SP;11;1;2,22736623;0;0;0;0;2,22736623;3
4656;FACULDADE ANHANGÜERA DE PIRACICABA;;Faculdade;Privada Com Fins Lucrativos;SP;11;1;2,262304706;0;0;0;0;2,262304706;3
